id sex head_width head_length thorax_width thorax_length abdomen_width abdomen_length right_forcep_length left_forcep_length right_forcep_width left_forcep_width
74 female 3.155 3.444 4.869 6.125 5.423 13.154 4.078 4.125 1.531 1.499
75 female 3.3 3.5 5.006 6.823 5.352 15.01 4.683 4.796 1.524 1.523
76 female 3.247 3.761 4.812 5.905 5.37 12.436 4.059 4.494 1.467 1.596
77 female 2.867 3.398 4.137 6.038 4.26 13.662 3.271 3.481 1.187 1.289
78 female 3.419 4.087 5.224 7.088 5.501 14.64 4.943 5.027 1.472 1.599
79 female 3.149 3.511 4.786 5.885 5.158 14.369 4.095 4.504 1.354 1.507
80 female 3.17 2.989 4.924 6.162 5.276 13.978 4.786 4.628 1.426 1.406
81 female 3.219 3.183 5.038 6.369 5.449 14.614 4.951 5.112 1.526 1.586
82 female 2.921 3.567 4.686 6.178 5.407 12.969 4.187 4.474 1.444 1.46
83 female 2.974 3.354 4.266 5.483 4.773 12.146 3.617 3.656 1.317 1.338
84 female 3.184 3.102 4.977 6.126 5.523 14.744 4.088 4.026 1.483 1.516
85 female 3.187 3.031 4.738 5.954 5.207 13.351 3.962 4.058 1.432 1.476
86 female 3.191 3.579 4.837 6.669 5.383 13.771 4.906 5.017 1.35 1.416
87 female 3.431 3.37 5.102 6.035 5.682 13.083 4.808 4.924 1.564 1.617
88 female 3.011 3.443 4.41 6.361 4.998 11.534 3.912 4.103 1.37 1.354
89 female 3.569 3.773 4.934 6.112 5.625 13.45 3.566 3.984 1.54 1.597
90 female 3.147 3.631 4.902 6.811 5.337 13.884 4.959 5.051 1.256 1.401
91 female 3.443 3.727 4.92 6.685 5.605 13.574 4.637 4.875 1.533 1.576
92 female 3.205 3.669 4.586 6.161 5.186 14.033 4.528 4.554 1.517 1.528
93 female 3.465 4.128 5.346 6.967 5.816 13.529 5.308 5.548 1.615 1.632
94 female 3.197 3.358 4.509 6.626 4.905 14.206 4.546 4.503 1.34 1.403
95 female 3.443 3.74 5.043 6.897 5.558 14.427 5.14 5.258 1.584 1.565
96 female 3.21 3.635 4.412 6.195 4.844 12.178 4.316 4.411 1.381 1.41
97 female 2.913 3.45 4.157 6.45 4.599 11.075 3.895 4.024 1.344 1.198
98 female 3.513 4.107 5.153 6.35 5.447 13.621 4.861 4.911 1.429 1.637
99 female 3.124 3.248 4.354 6.078 4.961 13.908 4.063 4.145 1.463 1.528
100 female 2.912 3.431 4.228 6.497 4.579 11.52 3.962 4.068 1.361 1.326
101 female 2.894 3.374 4.227 6.054 4.49 11.682 3.756 3.84 1.329 1.374
102 female 2.9 3.137 4.326 6.226 4.742 12.655 4.171 4.257 1.214 1.349
103 female 3.019 3.457 4.231 6.441 4.683 12.098 3.87 3.969 1.369 1.31
104 female 3.188 3.659 4.748 6.935 5.214 12.547 4.677 4.791 1.463 1.482
105 female 3.447 3.556 4.86 6.726 5.201 14.025 4.781 4.723 1.455 1.515
106 female 3.155 3.63 4.417 6.911 4.776 12.213 4.088 4.213 1.357 1.386
107 female 3.353 3.473 5.028 6.816 5.143 17.825 4.225 4.628 1.424 1.541
108 female 3.099 3.378 4.552 6.327 4.942 11.087 4.366 4.463 1.384 1.409
109 female 3.046 3.552 4.443 6.638 4.68 14.217 3.632 3.888 1.274 1.356
110 female 3.355 3.677 4.928 7.266 5.281 12.922 4.647 4.63 1.477 1.497
111 female 3.447 3.658 5.087 6.518 5.472 14.218 4.382 4.453 1.59 1.588
112 female 3.198 3.785 4.639 5.703 4.941 12.222 4.507 4.634 1.334 1.456
113 female 3.451 4.006 5.113 7.319 5.673 14.797 4.786 4.882 1.609 1.527
114 female 3.038 3.17 4.473 5.998 4.724 12.721 4.109 4.151 1.347 1.35
115 female 3.036 3.272 4.136 5.76 4.64 12.592 3.917 3.987 1.348 1.3
