museum_number,species,collection,sex,region,body_length,mandible_length,inside_mandible_length,mandible_tooth_1,mandible_tooth_2,mandible_tooth_3,mandible_tooth_4,head_length,head_width,pronotum_length,pronotum_width,elytra_length,elytra_width,method
RYA63,G. helmsi,Fieldwork,Female,Stewart Island,23.72,2.81,2.38,,,,,3.91,7.76,7.19,11.4,12.62,11.01,Callipers
RYA64,G. helmsi,Fieldwork,Female,Stewart Island,26.37,3.09,2.25,,,,,4.03,8.5,8.04,13.1,14.3,12.09,Callipers
RYA65,G. helmsi,Fieldwork,Female,Stewart Island,24.75,2.96,2.08,,,,,3.58,8.52,7.35,12.03,13.82,11.75,Callipers
RYA66,G. helmsi,Fieldwork,Female,Stewart Island,20.02,2.47,2.23,,,,,3.66,6.71,5.57,9.58,10.79,9.33,Callipers
RYA67,G. helmsi,Fieldwork,Female,Stewart Island,25.10,2.66,2.43,,,,,4.2,8.15,7.91,12.09,12.99,11.63,Callipers
RYA68,G. helmsi,Fieldwork,Female,Stewart Island,24.69,2.89,2.34,,,,,3.87,8.42,7.23,11.99,13.59,11.69,Callipers
RYA69,G. helmsi,Fieldwork,Female,Stewart Island,21.39,2.56,2.02,,,,,3.58,6.99,6.17,10.15,11.64,9.7,Callipers
RYA70,G. helmsi,Fieldwork,Female,Stewart Island,25.65,2.95,2.6,,,,,3.95,8.49,7.8,12.48,13.9,11.9,Callipers
RYA71,G. helmsi,Fieldwork,Male,Stewart Island,20.74,3.63,3.01,2.03,3.02,1.19,0.66,4.24,8.7,5.96,10.09,10.54,8.86,Callipers
RYA72,G. helmsi,Fieldwork,Female,Stewart Island,25.16,2.71,2.17,,,,,3.9,8.27,7.66,12.18,13.6,11.45,Callipers
RYA73,G. helmsi,Fieldwork,Female,Stewart Island,23.75,2.54,2.22,,,,,3.94,7.39,7.23,10.91,12.58,10.68,Callipers
RYA74,G. helmsi,Fieldwork,Female,Stewart Island,22.26,2.46,2.13,,,,,3.64,7.22,7.03,10.51,11.59,10.11,Callipers
RYA75,G. helmsi,Fieldwork,Female,Stewart Island,20.71,2.88,2.41,,,,,3.42,7.03,6.53,9.51,10.76,9.27,Callipers
RYA76,G. helmsi,Fieldwork,Female,Stewart Island,19.76,2.42,2.13,,,,,3.49,6.56,5.84,9.05,10.43,8.9,Callipers
RYA77,G. helmsi,Fieldwork,Female,Stewart Island,23.23,3.21,2.62,,,,,3.57,7.56,6.98,11.31,12.68,11.07,Callipers
RYA78,G. helmsi,Fieldwork,Female,Stewart Island,22.93,2.61,2.18,,,,,3.64,7.52,7.14,10.68,12.15,10.58,Callipers
RYA79,G. helmsi,Fieldwork,Female,Stewart Island,25.40,2.94,2.53,,,,,3.85,8.06,7.59,11.98,13.96,11.99,Callipers
RYA80,G. helmsi,Fieldwork,Female,Stewart Island,23.29,3.17,2.3,,,,,3.68,7.99,7.1,11.39,12.51,11.04,Callipers
RYA81,G. helmsi,Fieldwork,Female,Stewart Island,22.34,2.59,2.22,,,,,3.45,7.48,6.82,10.39,12.07,10.43,Callipers
RYA82,G. helmsi,Fieldwork,Female,Stewart Island,22.92,2.37,2.44,,,,,3.66,7.33,6.83,10.48,12.43,10.49,Callipers
RYA83,G. helmsi,Fieldwork,Male,Stewart Island,24.00,4.86,4.36,2.64,3.95,1.5,0.93,5.8,10.34,6.56,11.9,11.64,10.57,Callipers
RYA84,G. helmsi,Fieldwork,Female,Stewart Island,22.85,2.67,2.04,,,,,3.99,7.26,6.75,10.73,12.11,10.56,Callipers
RYA85,G. helmsi,Fieldwork,Female,Stewart Island,23.34,2.81,2.37,,,,,3.65,7.8,6.76,10.93,12.93,11.16,Callipers
RYA86,G. helmsi,Fieldwork,Female,Stewart Island,21.45,2.85,2.31,,,,,3.51,7.22,6.43,10.5,11.51,9.85,Callipers
RYA87,G. helmsi,Fieldwork,Female,Stewart Island,22.80,2.59,2.21,,,,,3.39,7.65,6.99,11.01,12.42,10.91,Callipers
RYA88,G. helmsi,Fieldwork,Female,Stewart Island,22.94,2.63,2.5,,,,,3.56,7.67,6.87,11.01,12.51,10.52,Callipers
RYA89,G. helmsi,Fieldwork,Female,Stewart Island,19.60,2.24,1.83,,,,,3.08,6.87,5.55,9.03,10.97,8.89,Callipers
RYA90,G. helmsi,Fieldwork,Female,Stewart Island,21.85,2.68,2.43,,,,,3.3,6.99,6.42,10.24,12.13,10.23,Callipers
RYA99,G. helmsi,Fieldwork,Female,Stewart Island,24.54,3.09,2.58,,,,,3.99,8.13,7.48,11.66,13.07,11.14,Callipers
RYA100,G. helmsi,Fieldwork,Female,Stewart Island,21.78,2.66,2.06,,,,,3.54,7.52,6.74,10.25,11.5,10.39,Callipers
RYA101,G. helmsi,Fieldwork,Female,Stewart Island,24.46,2.98,2.19,,,,,3.69,8.12,7.51,11.73,13.26,11.61,Callipers
RYA102,G. helmsi,Fieldwork,Female,Stewart Island,21.18,2.45,1.96,,,,,3.1,7.32,6.08,10.39,12,10.51,Callipers
RYA103,G. helmsi,Fieldwork,Female,Stewart Island,27.31,3.26,2.33,,,,,4.3,8.83,8.32,12.69,14.69,12.47,Callipers
RYA104,G. helmsi,Fieldwork,Female,Stewart Island,19.92,2.39,2.09,,,,,3.17,6.81,5.93,9.7,10.82,8.98,Callipers
RYA105,G. helmsi,Fieldwork,Female,Stewart Island,24.75,2.96,2.34,,,,,3.7,8.69,7.75,12.09,13.3,11.81,Callipers
RYA106,G. helmsi,Fieldwork,Female,Stewart Island,25.53,2.77,2.47,,,,,3.61,8,8.53,11.36,13.39,11.46,Callipers
RYA107,G. helmsi,Fieldwork,Female,Stewart Island,24.23,2.73,2.26,,,,,3.64,8.01,7.47,11.78,13.12,11.57,Callipers
RYA108,G. helmsi,Fieldwork,Female,Stewart Island,18.96,2.37,1.87,,,,,2.95,6.33,5.4,8.77,10.61,8.22,Callipers
RYA109,G. helmsi,Fieldwork,Female,Stewart Island,19.78,2.37,2.25,,,,,2.68,6.62,6.14,9.51,10.96,9.48,Callipers
RYA110,G. helmsi,Fieldwork,Female,Stewart Island,23.86,2.97,2.51,,,,,3.39,8.24,7.3,11.69,13.17,11.35,Callipers
GW1,G. helmsi,Fieldwork,Male,Stewart Island,26.11,5.03,4.65,2.78,4.19,1.7,1.05,6.8,11.04,7.19,12.33,12.12,10.52,Callipers
RYA111,G. helmsi,Fieldwork,Female,Stewart Island,24.01,2.84,2.55,,,,,3.8,7.12,7.31,11.14,12.9,11.45,Callipers
RYA112,G. helmsi,Fieldwork,Female,Stewart Island,22.12,2.44,1.91,,,,,3.65,7.09,6.37,10.44,12.1,10.14,Callipers
RYA113,G. helmsi,Fieldwork,Female,Stewart Island,21.30,2.86,2.26,,,,,3.18,7.14,6.58,10.31,11.54,9.96,Callipers
RYA114,G. helmsi,Fieldwork,Female,Stewart Island,20.96,2.57,1.98,,,,,3.01,7.05,6.82,10.19,11.13,9.62,Callipers
RYA115,G. helmsi,Fieldwork,Female,Stewart Island,24.33,2.81,2.15,,,,,4.04,7.73,7.21,11.76,13.08,11.19,Callipers
RYA116,G. helmsi,Fieldwork,Male,Stewart Island,19.59,3.43,3.01,1.87,3.15,1.12,0.81,4.25,8.49,5.16,9.58,10.18,8.49,Callipers
RYA117,G. helmsi,Fieldwork,Female,Stewart Island,23.17,2.42,2.12,,,,,3.88,7.92,6.98,11.36,12.31,10.61,Callipers
RYA118,G. helmsi,Fieldwork,Female,Stewart Island,23.33,2.66,2.06,,,,,3.74,7.61,6.94,11.14,12.65,10.87,Callipers
RYA119,G. helmsi,Fieldwork,Female,Stewart Island,21.26,2.28,1.86,,,,,3.52,6.81,6.11,9.82,11.63,10.16,Callipers
RYA120,G. helmsi,Fieldwork,Female,Stewart Island,20.21,2.6,2.35,,,,,3.32,6.68,5.69,9.5,11.2,9.44,Callipers
RYA121,G. helmsi,Fieldwork,Female,Stewart Island,19.71,2.43,1.86,,,,,2.85,6.67,6.02,9.43,10.84,9.44,Callipers
RYA122,G. helmsi,Fieldwork,Female,Stewart Island,24.11,3.03,2.44,,,,,4.22,7.96,6.84,11.37,13.05,10.91,Callipers
RYA123,G. helmsi,Fieldwork,Female,Stewart Island,21.39,2.62,2.22,,,,,2.88,7.19,6.47,10.23,12.04,10.24,Callipers
RYA124,G. helmsi,Fieldwork,Female,Stewart Island,21.39,2.63,2.08,,,,,3.33,7.23,6.57,10.17,11.49,9.94,Callipers
RYA125,G. helmsi,Fieldwork,Female,Stewart Island,24.95,2.91,2.36,,,,,4.26,8.44,7.22,12.23,13.47,11.53,Callipers
RYA126,G. helmsi,Fieldwork,Female,Stewart Island,19.46,2.54,2.09,,,,,3.05,6.74,5.81,9.35,10.6,9.34,Callipers
RYA127,G. helmsi,Fieldwork,Female,Stewart Island,21.51,2.63,2.31,,,,,3.65,7.03,6.35,9.97,11.51,9.52,Callipers
RYA128,G. helmsi,Fieldwork,Female,Stewart Island,19.55,2.44,2.34,,,,,3.23,6.5,5.74,9.4,10.58,8.99,Callipers
RYA129,G. helmsi,Fieldwork,Female,Stewart Island,21.53,2.45,2.14,,,,,3.15,7.29,6.9,10.53,11.48,10.17,Callipers
RYA130,G. helmsi,Fieldwork,Female,Stewart Island,23.96,2.93,2.48,,,,,3.87,7.97,7.45,11.6,12.64,11.22,Callipers
RYA131,G. helmsi,Fieldwork,Female,Stewart Island,23.92,2.76,2.45,,,,,4.16,7.75,7.3,11.65,12.46,10.92,Callipers
RYA132,G. helmsi,Fieldwork,Female,Stewart Island,23.22,2.99,2.45,,,,,3.63,7.48,6.98,11.33,12.61,10.92,Callipers
RYA133,G. helmsi,Fieldwork,Female,Stewart Island,20.21,2.76,2.45,,,,,2.96,6.41,6.09,9.33,11.16,8.99,Callipers
RYA134,G. helmsi,Fieldwork,Male,Stewart Island,19.27,3.61,3,1.99,3.08,1.08,0.79,3.79,7.67,5.48,9.37,10,8.42,Callipers
RYA135,G. helmsi,Fieldwork,Female,Stewart Island,21.31,2.37,2.04,,,,,2.84,7.2,6.46,10.29,12.01,10.25,Callipers
RYA136,G. helmsi,Fieldwork,Female,Stewart Island,20.10,2.57,2.42,,,,,3.38,6.13,5.86,9.15,10.86,9.3,Callipers
RYA137,G. helmsi,Fieldwork,Female,Stewart Island,23.09,2.68,2.43,,,,,3.46,7.82,7.29,11.58,12.34,11.19,Callipers
RYA138,G. helmsi,Fieldwork,Female,Stewart Island,24.00,2.72,1.91,,,,,3.77,7.7,7.2,11.45,13.03,11.08,Callipers
GOL 16,G. helmsi,Fieldwork,Male,Stewart Island,20.76,4.2,3.43,2.24,3.44,1.53,0.84,4.4,9.15,5.64,10.52,10.72,9.23,Callipers
GOL 17,G. helmsi,Fieldwork,Female,Stewart Island,19.93,2.4,1.89,,,,,2.93,6.43,5.87,9.34,11.13,9.25,Callipers
GOL 18,G. helmsi,Fieldwork,Male,Stewart Island,21.20,4.5,3.43,2.27,3.66,1.45,0.76,4.43,9.58,5.97,10.77,10.8,9.33,Callipers
GOL 19,G. helmsi,Fieldwork,Female,Stewart Island,22.93,2.74,2.24,,,,,3.45,7.94,6.88,11.22,12.6,10.61,Callipers
GOL 20,G. helmsi,Fieldwork,Male,Stewart Island,20.05,3.87,3.13,1.91,2.75,1.34,0.61,4.19,8.26,5.94,9.34,9.92,8.46,Callipers
GOL 21,G. helmsi,Fieldwork,Female,Stewart Island,24.81,2.71,2.29,,,,,4.35,8.52,7.41,11.56,13.05,11.11,Callipers
GOL 22,G. helmsi,Fieldwork,Female,Stewart Island,26.03,3.06,2.35,,,,,4.24,8.3,7.72,12.3,14.07,11.83,Callipers
DB1,G. helmsi,Fieldwork,Female,Stewart Island,21.81,2.21,1.89,,,,,2.97,7.58,6.72,10.6,12.12,10.33,Callipers
RAR3,G. helmsi,Fieldwork,Female,Stewart Island,23.66,2.41,1.95,,,,,3.35,8.13,7.09,11.22,13.22,10.93,Callipers
RAR4,G. helmsi,Fieldwork,Female,Stewart Island,20.70,2.45,2.15,,,,,3.66,6.78,6.04,9.63,11,9.26,Callipers
GOL6,G. helmsi,Fieldwork,Female,Stewart Island,19.67,2.38,1.97,,,,,3.09,6.58,5.62,9.3,10.96,8.66,Callipers
GOL7,G. helmsi,Fieldwork,Female,Stewart Island,20.93,2.59,2.01,,,,,3.17,7.09,6.4,10.09,11.36,9.67,Callipers
GOL8,G. helmsi,Fieldwork,Female,Stewart Island,23.74,3.2,2.43,,,,,4.14,8.01,7.21,10.93,12.39,10.52,Callipers
GOL9,G. helmsi,Fieldwork,Female,Stewart Island,23.02,2.91,2.45,,,,,3.86,7.41,6.74,11.02,12.42,10.16,Callipers
GOL10,G. helmsi,Fieldwork,Female,Stewart Island,22.03,2.88,2.45,,,,,2.85,7.72,6.84,10.98,12.34,10.7,Callipers
GOL11,G. helmsi,Fieldwork,Female,Stewart Island,19.56,2.19,1.93,,,,,2.9,6.68,6.11,9.13,10.55,8.81,Callipers
GOL12,G. helmsi,Fieldwork,Female,Stewart Island,22.36,2.51,2.26,,,,,3.72,7.49,6.7,10.36,11.94,10.09,Callipers
GOL13,G. helmsi,Fieldwork,Male,Stewart Island,21.55,4.18,3.92,2.86,3.38,1.3,0.86,5.41,8.78,5.39,10.29,10.75,8.97,Callipers
GOL14,G. helmsi,Fieldwork,Female,Stewart Island,22.10,2.52,2.19,,,,,3.63,7.67,6.44,10.43,12.03,10.1,Callipers
GOL15,G. helmsi,Fieldwork,Male,Stewart Island,20.01,3.62,2.95,2.18,3.19,1.64,0.6,4.51,8.4,5.32,9.68,10.18,8.59,Callipers
NZAC04249335,G. helmsi,NZAC,Male,Stewart Island,26.89,6.549,5.71,2.784,4.682,1.698,1.239,6.923,12.319,6.749,12.983,13.221,11.356,Digital
NZAC04255437,G. helmsi,NZAC,Male,Stewart Island,37.02,11.438,10.343,4.482,6.404,2.668,2.234,10.859,18.424,9.42,19.545,16.737,14.429,Digital
NZAC04255442,G. helmsi,NZAC,Male,Stewart Island,28.40,8.508,7.786,3.406,6.213,2.047,1.714,9.025,16.044,8.286,17.432,11.092,12.782,Digital
NZAC04255443,G. helmsi,NZAC,Male,Stewart Island,29.47,7.038,6.123,3.105,5.303,1.963,1.542,7.356,14.905,7.894,15.795,14.218,12.051,Digital
